Day,Month,Year,pm10_egnatia,pm10_egnatia_yest,pm10_lagkada,pm25_egnatia,no2_egnatia,so2_egnatia,temperature_egnatia,humidity_egnatia,WINDS_kord,Target
2557,1,1,2007,109.0,73.0,99.0,70.0,98.0,55.0,7.9,60.0,0.79,99.0
2558,2,1,2007,99.0,109.0,100.0,61.0,111.0,68.0,10.8,63.0,2.38,46.0
2559,3,1,2007,46.0,99.0,18.0,27.0,90.0,17.0,9.4,56.0,1.47,44.0
2560,4,1,2007,44.0,46.0,29.0,29.0,97.0,31.0,7.8,43.0,0.86,63.0
2561,5,1,2007,63.0,44.0,60.0,43.0,99.0,42.0,6.6,56.0,0.77,45.0
2562,6,1,2007,45.0,63.0,27.0,32.0,92.0,32.0,9.6,49.0,0.78,63.0
2563,7,1,2007,63.0,45.0,49.0,47.0,104.0,45.0,10.1,51.0,0.55,109.0
2564,8,1,2007,109.0,63.0,101.0,65.0,117.0,73.0,10.0,61.0,0.6,120.0
2565,9,1,2007,120.0,109.0,94.0,72.0,120.0,71.0,10.1,69.0,0.48,147.0
2566,10,1,2007,147.0,120.0,133.0,93.0,132.0,78.0,10.2,69.0,0.47,150.0
2567,11,1,2007,150.0,147.0,143.0,90.0,128.0,55.0,10.5,68.0,1.39,124.0
2568,12,1,2007,124.0,150.0,86.0,68.0,113.0,46.0,11.2,60.0,2.38,42.0
2569,13,1,2007,42.0,124.0,29.0,28.0,93.0,15.0,11.3,35.0,0.55,95.0
2570,14,1,2007,95.0,42.0,67.0,65.0,105.0,45.0,11.3,50.0,1.17,72.0
2571,15,1,2007,72.0,95.0,50.0,48.0,102.0,33.0,13.1,48.0,0.55,103.0
2572,16,1,2007,103.0,72.0,97.0,59.0,123.0,54.0,10.5,51.0,0.54,146.0
2573,17,1,2007,146.0,103.0,119.0,84.0,124.0,68.0,9.6,56.0,0.53,153.0
2574,18,1,2007,153.0,146.0,133.0,93.0,128.0,85.0,11.1,51.0,0.53,151.0
2575,19,1,2007,151.0,153.0,117.0,90.0,135.0,66.0,12.9,59.0,2.81,57.0
2576,20,1,2007,57.0,151.0,48.0,35.0,91.0,15.0,16.1,30.0,0.59,70.0
2577,21,1,2007,70.0,57.0,47.0,52.0,103.0,30.0,13.7,56.0,0.97,84.0
2578,22,1,2007,84.0,70.0,65.0,60.0,105.0,26.0,12.1,75.0,0.59,82.0
2579,23,1,2007,82.0,84.0,64.0,54.0,101.0,20.0,13.1,76.0,1.98,55.0
2580,24,1,2007,55.0,82.0,50.0,30.0,81.0,9.0,16.8,48.0,1.63,50.0
2581,25,1,2007,50.0,55.0,32.0,35.0,99.0,13.0,16.5,42.0,0.99,60.0
2582,26,1,2007,60.0,50.0,44.0,46.0,96.0,26.0,13.9,68.0,0.83,65.0
2583,27,1,2007,65.0,60.0,27.0,39.0,96.0,16.0,12.2,64.0,4.03,29.0
2584,28,1,2007,29.0,65.0,12.0,22.0,86.0,7.0,6.3,26.0,0.77,55.0
2585,29,1,2007,55.0,29.0,48.0,34.0,114.0,41.0,7.5,37.0,2.4,35.0
2586,30,1,2007,35.0,55.0,23.0,23.0,106.0,19.0,10.9,32.0,1.16,46.0
2588,1,2,2007,74.0,46.0,61.0,45.0,119.0,41.0,11.1,49.0,2.75,40.0
2589,2,2,2007,40.0,74.0,23.0,24.0,99.0,18.0,10.5,40.0,1.85,51.0
2590,3,2,2007,51.0,40.0,18.0,28.0,101.0,20.0,9.0,41.0,3.02,45.0
2591,4,2,2007,45.0,51.0,18.0,26.0,85.0,15.0,8.2,44.0,1.93,46.0
2592,5,2,2007,46.0,45.0,18.0,27.0,115.0,28.0,7.8,41.0,0.92,56.0
2593,6,2,2007,56.0,46.0,58.0,40.0,104.0,36.0,8.2,46.0,0.59,151.0
2594,7,2,2007,151.0,56.0,155.0,88.0,123.0,78.0,7.9,52.0,0.48,130.0
2595,8,2,2007,130.0,151.0,115.0,87.0,123.0,62.0,10.3,56.0,0.61,120.0
2596,9,2,2007,120.0,130.0,104.0,72.0,119.0,22.0,12.3,59.0,0.55,92.0
2597,10,2,2007,92.0,120.0,75.0,58.0,94.0,29.0,12.6,59.0,0.87,66.0
2598,11,2,2007,66.0,92.0,55.0,43.0,95.0,22.0,14.0,54.0,1.02,69.0
2599,12,2,2007,69.0,66.0,38.0,39.0,97.0,22.0,13.7,60.0,0.95,84.0
2600,13,2,2007,84.0,69.0,64.0,50.0,94.0,31.0,13.1,72.0,3.06,40.0
2601,14,2,2007,40.0,84.0,49.0,23.0,85.0,12.0,12.0,47.0,1.5,47.0
2602,15,2,2007,47.0,40.0,26.0,30.0,90.0,29.0,12.9,44.0,0.75,68.0
2603,16,2,2007,68.0,47.0,50.0,44.0,92.0,64.0,11.8,66.0,1.03,43.0
2604,17,2,2007,43.0,68.0,27.0,25.0,84.0,9.0,11.6,56.0,1.05,32.0
2605,18,2,2007,32.0,43.0,19.0,23.0,73.0,17.0,9.2,58.0,0.63,42.0
2606,19,2,2007,42.0,32.0,33.0,31.0,70.0,26.0,9.7,67.0,0.67,71.0
2607,20,2,2007,71.0,42.0,63.0,47.0,78.0,39.0,11.1,76.0,0.73,90.0
2608,21,2,2007,90.0,71.0,77.0,58.0,105.0,37.0,11.5,73.0,0.86,76.0
2609,22,2,2007,76.0,90.0,59.0,49.0,107.0,31.0,12.2,69.0,0.66,98.0
2610,23,2,2007,98.0,76.0,78.0,59.0,99.0,40.0,12.8,69.0,2.1,47.0
2611,24,2,2007,47.0,98.0,26.0,26.0,94.0,13.0,7.8,54.0,1.38,40.0
2612,25,2,2007,40.0,47.0,26.0,26.0,95.0,15.0,6.6,51.0,0.94,54.0
2613,26,2,2007,54.0,40.0,34.0,34.0,92.0,27.0,8.7,56.0,1.45,37.0
2614,27,2,2007,37.0,54.0,17.0,27.0,99.0,19.0,8.5,79.0,2.03,58.0
2616,1,3,2007,76.0,58.0,73.0,45.0,103.0,51.0,13.1,60.0,0.83,96.0
2617,2,3,2007,96.0,76.0,84.0,59.0,111.0,57.0,14.4,61.0,1.29,57.0
2618,3,3,2007,57.0,96.0,40.0,35.0,105.0,15.0,16.8,42.0,1.73,49.0
2619,4,3,2007,49.0,57.0,38.0,30.0,97.0,14.0,16.3,41.0,1.16,34.0
2620,5,3,2007,34.0,49.0,18.0,27.0,93.0,13.0,13.8,38.0,1.24,39.0
2621,6,3,2007,39.0,34.0,31.0,29.0,88.0,17.0,12.7,62.0,1.09,47.0
2622,7,3,2007,47.0,39.0,42.0,32.0,87.0,20.0,12.4,70.0,1.01,60.0
2623,8,3,2007,60.0,47.0,56.0,40.0,92.0,22.0,12.7,66.0,1.15,77.0
2624,9,3,2007,77.0,60.0,61.0,46.0,97.0,33.0,12.6,65.0,1.19,54.0
2625,10,3,2007,54.0,77.0,41.0,34.0,83.0,47.0,11.9,58.0,0.91,61.0
2626,11,3,2007,61.0,54.0,40.0,42.0,82.0,36.0,10.9,68.0,1.18,63.0
2627,12,3,2007,63.0,61.0,45.0,40.0,112.0,31.0,13.2,48.0,1.0,79.0
2628,13,3,2007,79.0,63.0,49.0,52.0,103.0,27.0,13.0,59.0,1.24,61.0
2629,14,3,2007,61.0,79.0,40.0,35.0,114.0,27.0,13.5,40.0,1.05,85.0
2630,15,3,2007,85.0,61.0,59.0,52.0,116.0,39.0,14.5,47.0,1.11,75.0
2631,16,3,2007,75.0,85.0,44.0,49.0,113.0,27.0,14.7,55.0,0.91,72.0
2632,17,3,2007,72.0,75.0,54.0,48.0,98.0,18.0,13.5,72.0,0.96,77.0
2633,18,3,2007,77.0,72.0,51.0,46.0,111.0,23.0,17.0,47.0,1.06,83.0
2634,19,3,2007,83.0,77.0,41.0,49.0,114.0,28.0,16.8,42.0,2.6,62.0
2635,20,3,2007,62.0,83.0,27.0,36.0,80.0,5.0,17.8,40.0,3.09,54.0
2636,21,3,2007,54.0,62.0,18.0,32.0,83.0,8.0,15.4,48.0,1.01,46.0
2637,22,3,2007,46.0,54.0,20.0,28.0,90.0,11.0,12.8,57.0,1.17,52.0
2638,23,3,2007,52.0,46.0,25.0,34.0,87.0,12.0,12.3,63.0,0.86,45.0
2639,24,3,2007,45.0,52.0,30.0,32.0,92.0,15.0,14.5,50.0,1.0,41.0
2640,25,3,2007,41.0,45.0,18.0,30.0,90.0,20.0,14.7,52.0,1.5,49.0
2641,26,3,2007,49.0,41.0,22.0,34.0,105.0,12.0,11.8,69.0,1.22,71.0
2642,27,3,2007,71.0,49.0,35.0,42.0,94.0,11.0,10.0,70.0,1.28,49.0
2643,28,3,2007,49.0,71.0,20.0,32.0,93.0,9.0,11.2,42.0,0.98,60.0
2644,29,3,2007,60.0,49.0,42.0,38.0,112.0,19.0,11.2,57.0,0.82,67.0
2645,30,3,2007,67.0,60.0,53.0,43.0,113.0,21.0,11.6,65.0,1.05,63.0
2647,1,4,2007,34.0,63.0,23.0,23.0,68.0,13.0,12.9,70.0,1.15,51.0
2648,2,4,2007,51.0,34.0,44.0,28.0,95.0,26.0,14.4,54.0,1.0,62.0
2649,3,4,2007,62.0,51.0,55.0,38.0,109.0,22.0,14.9,49.0,1.14,66.0
2650,4,4,2007,66.0,62.0,59.0,42.0,118.0,18.0,13.7,61.0,1.26,59.0
2651,5,4,2007,59.0,66.0,24.0,33.0,100.0,13.0,14.3,62.0,0.97,59.0
2652,6,4,2007,59.0,59.0,38.0,38.0,98.0,17.0,15.7,55.0,0.91,56.0
2653,7,4,2007,56.0,59.0,41.0,36.0,104.0,15.0,17.6,47.0,1.14,42.0
2654,8,4,2007,42.0,56.0,23.0,23.0,96.0,8.0,19.2,29.0,1.41,42.0
2655,9,4,2007,42.0,42.0,26.0,27.0,87.0,7.0,18.5,34.0,1.0,76.0
2656,10,4,2007,76.0,42.0,63.0,47.0,122.0,25.0,18.2,43.0,1.72,78.0
2657,11,4,2007,78.0,76.0,60.0,45.0,121.0,16.0,19.5,39.0,1.25,54.0
2658,12,4,2007,54.0,78.0,30.0,29.0,98.0,11.0,17.8,47.0,0.97,74.0
2659,13,4,2007,74.0,54.0,50.0,42.0,116.0,22.0,17.7,46.0,0.96,72.0
2660,14,4,2007,72.0,74.0,47.0,45.0,114.0,14.0,17.8,55.0,1.34,116.0
2661,15,4,2007,116.0,72.0,43.0,58.0,102.0,12.0,19.0,48.0,1.45,59.0
2662,16,4,2007,59.0,116.0,20.0,33.0,107.0,6.0,13.9,55.0,1.44,67.0
2663,17,4,2007,67.0,59.0,29.0,35.0,94.0,17.0,13.5,54.0,1.17,70.0
2667,21,4,2007,66.0,54.0,52.0,48.0,93.0,16.0,17.7,55.0,1.31,65.0
2670,24,4,2007,57.0,51.0,40.0,34.0,111.0,9.0,17.8,43.0,1.32,66.0
2671,25,4,2007,66.0,57.0,34.0,39.0,115.0,13.0,16.4,61.0,0.78,45.0
2674,28,4,2007,60.0,43.0,47.0,40.0,106.0,12.0,18.1,46.0,1.08,90.0
2675,29,4,2007,90.0,60.0,48.0,49.0,106.0,11.0,19.8,49.0,1.02,104.0
2677,1,5,2007,47.0,104.0,23.0,32.0,55.0,3.0,20.1,57.0,1.24,71.0
2678,2,5,2007,71.0,47.0,25.0,41.0,105.0,4.0,20.1,56.0,1.5,57.0
2679,3,5,2007,57.0,71.0,27.0,31.0,90.0,4.0,18.1,65.0,0.76,68.0
2680,4,5,2007,68.0,57.0,53.0,46.0,109.0,13.0,18.2,62.0,0.68,54.0
2681,5,5,2007,54.0,68.0,41.0,34.0,100.0,9.0,19.4,59.0,0.86,50.0
2682,6,5,2007,50.0,54.0,35.0,35.0,98.0,10.0,22.0,49.0,0.86,73.0
2683,7,5,2007,73.0,50.0,56.0,40.0,114.0,33.0,22.1,48.0,1.46,48.0
2684,8,5,2007,48.0,73.0,26.0,28.0,113.0,21.0,24.5,34.0,1.49,67.0
2685,9,5,2007,67.0,48.0,45.0,42.0,108.0,17.0,25.0,34.0,1.17,68.0
2686,10,5,2007,68.0,67.0,40.0,39.0,108.0,11.0,25.8,34.0,1.33,69.0
2687,11,5,2007,69.0,68.0,48.0,45.0,105.0,16.0,23.9,46.0,1.11,57.0
2688,12,5,2007,57.0,69.0,50.0,34.0,98.0,11.0,24.1,46.0,0.92,63.0
2689,13,5,2007,63.0,57.0,57.0,42.0,96.0,11.0,26.2,43.0,1.04,70.0
2690,14,5,2007,70.0,63.0,61.0,39.0,105.0,8.0,25.7,47.0,1.13,56.0
2691,15,5,2007,56.0,70.0,41.0,35.0,96.0,11.0,25.1,39.0,1.15,71.0
2692,16,5,2007,71.0,56.0,46.0,42.0,115.0,12.0,24.8,43.0,1.61,63.0
2693,17,5,2007,63.0,71.0,48.0,38.0,101.0,9.0,24.4,49.0,1.45,60.0
2694,18,5,2007,60.0,63.0,41.0,37.0,107.0,8.0,22.1,50.0,1.42,44.0
2695,19,5,2007,44.0,60.0,20.0,30.0,91.0,4.0,19.1,66.0,1.29,51.0
2696,20,5,2007,51.0,44.0,26.0,33.0,85.0,3.0,18.4,83.0,0.89,72.0
2697,21,5,2007,72.0,51.0,60.0,39.0,103.0,3.0,20.3,73.0,1.2,66.0
2698,22,5,2007,66.0,72.0,62.0,38.0,100.0,3.0,21.7,65.0,1.14,83.0
2699,23,5,2007,83.0,66.0,45.0,44.0,91.0,6.0,21.1,71.0,1.06,65.0
2700,24,5,2007,65.0,83.0,20.0,36.0,92.0,5.0,20.8,73.0,0.94,86.0
2701,25,5,2007,86.0,65.0,35.0,36.0,101.0,6.0,22.9,62.0,0.97,65.0
2702,26,5,2007,65.0,86.0,42.0,36.0,88.0,9.0,24.2,59.0,1.06,58.0
2703,27,5,2007,58.0,65.0,32.0,41.0,82.0,10.0,24.3,60.0,1.42,66.0
2704,28,5,2007,66.0,58.0,36.0,39.0,82.0,8.0,24.8,59.0,1.28,53.0
2705,29,5,2007,53.0,66.0,39.0,29.0,90.0,8.0,24.6,52.0,1.49,46.0
2706,30,5,2007,46.0,53.0,24.0,28.0,97.0,12.0,23.9,32.0,1.44,48.0
2708,1,6,2007,49.0,48.0,23.0,31.0,92.0,12.0,24.3,40.0,1.35,56.0
2709,2,6,2007,56.0,49.0,29.0,35.0,97.0,7.0,23.8,57.0,1.24,52.0
2710,3,6,2007,52.0,56.0,29.0,33.0,93.0,5.0,25.5,49.0,1.27,62.0
2711,4,6,2007,62.0,52.0,42.0,39.0,94.0,5.0,26.2,46.0,1.33,58.0
2712,5,6,2007,58.0,62.0,27.0,37.0,108.0,2.0,21.8,69.0,1.4,56.0
2713,6,6,2007,56.0,58.0,20.0,31.0,106.0,2.0,21.2,71.0,0.93,59.0
2714,7,6,2007,59.0,56.0,24.0,31.0,111.0,4.0,24.6,49.0,1.06,66.0
2715,8,6,2007,66.0,59.0,43.0,42.0,116.0,4.0,24.4,48.0,1.08,65.0
2716,9,6,2007,65.0,66.0,34.0,37.0,97.0,3.0,25.4,43.0,1.23,48.0
2717,10,6,2007,48.0,65.0,30.0,29.0,83.0,5.0,25.3,46.0,1.25,58.0
2718,11,6,2007,58.0,48.0,35.0,32.0,97.0,10.0,25.6,47.0,1.28,67.0
2719,12,6,2007,67.0,58.0,42.0,37.0,102.0,8.0,26.4,47.0,1.28,56.0
2720,13,6,2007,56.0,67.0,28.0,36.0,96.0,7.0,26.5,52.0,1.32,61.0
2721,14,6,2007,61.0,56.0,26.0,34.0,111.0,6.0,26.2,51.0,1.07,63.0
2722,15,6,2007,63.0,61.0,42.0,40.0,115.0,6.0,28.3,47.0,1.03,69.0
2723,16,6,2007,69.0,63.0,51.0,42.0,113.0,7.0,27.8,47.0,1.08,43.0
2724,17,6,2007,43.0,69.0,18.0,22.0,100.0,7.0,30.0,35.0,1.26,60.0
2725,18,6,2007,60.0,43.0,26.0,37.0,107.0,5.0,30.7,38.0,1.07,72.0
2726,19,6,2007,72.0,60.0,44.0,39.0,129.0,6.0,32.6,35.0,1.63,68.0
2727,20,6,2007,68.0,72.0,28.0,40.0,130.0,6.0,33.1,29.0,1.34,75.0
2728,21,6,2007,75.0,68.0,51.0,52.0,113.0,8.0,30.3,50.0,1.32,76.0
2729,22,6,2007,76.0,75.0,63.0,52.0,115.0,10.0,30.3,51.0,1.13,74.0
2730,23,6,2007,74.0,76.0,65.0,55.0,100.0,3.0,30.3,55.0,1.05,80.0
2731,24,6,2007,80.0,74.0,73.0,48.0,87.0,2.0,33.5,46.0,1.08,85.0
2732,25,6,2007,85.0,80.0,86.0,55.0,109.0,3.0,31.5,51.0,1.03,91.0
2733,26,6,2007,91.0,85.0,102.0,56.0,119.0,3.0,33.4,42.0,0.88,88.0
2734,27,6,2007,88.0,91.0,96.0,48.0,138.0,3.0,36.3,21.0,1.65,61.0
2735,28,6,2007,61.0,88.0,43.0,36.0,119.0,6.0,33.1,17.0,1.51,74.0
2736,29,6,2007,74.0,61.0,39.0,55.0,105.0,9.0,29.2,38.0,1.48,61.0
2738,1,7,2007,45.0,61.0,27.0,30.0,79.0,4.0,27.0,52.0,1.45,59.0
2739,2,7,2007,59.0,45.0,39.0,40.0,95.0,5.0,28.2,52.0,1.42,55.0
2740,3,7,2007,55.0,59.0,34.0,37.0,104.0,6.0,28.1,55.0,1.22,59.0
2741,4,7,2007,59.0,55.0,39.0,40.0,104.0,4.0,28.7,56.0,1.53,53.0
2742,5,7,2007,53.0,59.0,51.0,27.0,125.0,5.0,29.9,36.0,2.36,45.0
2743,6,7,2007,45.0,53.0,21.0,24.0,136.0,8.0,27.8,19.0,1.33,58.0
2744,7,7,2007,58.0,45.0,33.0,39.0,98.0,8.0,28.1,30.0,1.2,63.0
2745,8,7,2007,63.0,58.0,33.0,44.0,100.0,7.0,29.3,37.0,1.16,72.0
2746,9,7,2007,72.0,63.0,46.0,44.0,118.0,9.0,29.5,46.0,1.22,78.0
2747,10,7,2007,78.0,72.0,51.0,52.0,115.0,8.0,30.1,47.0,1.59,76.0
2748,11,7,2007,76.0,78.0,53.0,52.0,113.0,15.0,30.5,47.0,2.77,58.0
2749,12,7,2007,58.0,76.0,57.0,25.0,134.0,9.0,27.8,25.0,2.36,45.0
2750,13,7,2007,45.0,58.0,23.0,24.0,138.0,5.0,27.6,21.0,1.83,51.0
2751,14,7,2007,51.0,45.0,23.0,34.0,112.0,16.0,28.6,25.0,1.57,50.0
2752,15,7,2007,50.0,51.0,36.0,36.0,92.0,7.0,28.9,35.0,1.33,67.0
2753,16,7,2007,67.0,50.0,55.0,47.0,115.0,9.0,29.9,37.0,1.19,72.0
2754,17,7,2007,72.0,67.0,63.0,50.0,137.0,6.0,31.7,36.0,1.15,65.0
2755,18,7,2007,65.0,72.0,70.0,45.0,127.0,4.0,31.9,38.0,1.2,64.0
2756,19,7,2007,64.0,65.0,65.0,45.0,135.0,9.0,32.4,33.0,1.25,69.0
2757,20,7,2007,69.0,64.0,71.0,48.0,120.0,5.0,31.6,42.0,1.24,53.0
2758,21,7,2007,53.0,69.0,57.0,38.0,104.0,5.0,30.9,47.0,1.13,55.0
2759,22,7,2007,55.0,53.0,58.0,39.0,94.0,4.0,31.5,47.0,1.1,76.0
2760,23,7,2007,76.0,55.0,76.0,53.0,147.0,8.0,32.5,40.0,0.93,121.0
2761,24,7,2007,121.0,76.0,125.0,76.0,160.0,7.0,34.7,33.0,0.88,130.0
2762,25,7,2007,130.0,121.0,125.0,79.0,159.0,6.0,35.2,28.0,2.07,76.0
2763,26,7,2007,76.0,130.0,72.0,53.0,138.0,7.0,31.0,30.0,1.53,47.0
2764,27,7,2007,47.0,76.0,47.0,34.0,94.0,7.0,30.2,47.0,1.27,52.0
2765,28,7,2007,52.0,47.0,43.0,37.0,91.0,5.0,30.2,49.0,1.28,40.0
2766,29,7,2007,40.0,52.0,38.0,29.0,80.0,5.0,30.6,49.0,1.28,43.0
2767,30,7,2007,43.0,40.0,49.0,32.0,90.0,7.0,29.4,60.0,1.59,53.0
2769,1,8,2007,73.0,53.0,69.0,41.0,110.0,8.0,29.6,39.0,1.86,53.0
2770,2,8,2007,53.0,73.0,27.0,43.0,78.0,6.0,26.1,48.0,1.64,51.0
2771,3,8,2007,51.0,53.0,33.0,36.0,85.0,3.0,27.0,53.0,1.32,51.0
2772,4,8,2007,51.0,51.0,35.0,37.0,83.0,3.0,27.1,56.0,1.74,34.0
2773,5,8,2007,34.0,51.0,16.0,23.0,78.0,5.0,19.2,78.0,1.45,44.0
2774,6,8,2007,44.0,34.0,15.0,22.0,89.0,3.0,21.5,65.0,1.42,43.0
2775,7,8,2007,43.0,44.0,16.0,33.0,114.0,6.0,26.7,47.0,1.2,68.0
2776,8,8,2007,68.0,43.0,35.0,51.0,99.0,6.0,27.8,50.0,0.93,60.0
2777,9,8,2007,60.0,68.0,51.0,39.0,104.0,7.0,28.1,56.0,1.1,54.0
2778,10,8,2007,54.0,60.0,47.0,35.0,89.0,5.0,28.0,64.0,0.6,52.0
2779,11,8,2007,52.0,54.0,45.0,34.0,83.0,5.0,28.0,64.0,1.59,22.0
2780,12,8,2007,22.0,52.0,17.0,14.0,95.0,2.0,28.9,35.0,1.11,26.0
2781,13,8,2007,26.0,22.0,18.0,17.0,109.0,5.0,29.5,34.0,1.24,34.0
2782,14,8,2007,34.0,26.0,21.0,22.0,119.0,7.0,31.0,32.0,1.22,25.0
2783,15,8,2007,25.0,34.0,22.0,16.0,82.0,5.0,30.7,34.0,1.21,35.0
2784,16,8,2007,35.0,25.0,37.0,23.0,77.0,5.0,29.3,46.0,1.28,49.0
2785,17,8,2007,49.0,35.0,44.0,32.0,88.0,4.0,29.3,51.0,1.14,47.0
2786,18,8,2007,47.0,49.0,50.0,31.0,84.0,3.0,29.9,51.0,1.28,49.0
2787,19,8,2007,49.0,47.0,40.0,32.0,70.0,3.0,29.0,61.0,1.31,49.0
2788,20,8,2007,49.0,49.0,45.0,32.0,89.0,3.0,29.7,59.0,1.22,54.0
2789,21,8,2007,54.0,49.0,47.0,41.0,92.0,3.0,29.3,59.0,1.0,67.0
2790,22,8,2007,67.0,54.0,65.0,49.0,111.0,5.0,30.3,55.0,0.88,92.0
2791,23,8,2007,92.0,67.0,85.0,66.0,124.0,6.0,31.7,47.0,1.12,78.0
2792,24,8,2007,78.0,92.0,72.0,57.0,104.0,4.0,32.6,42.0,1.04,59.0
2818,19,9,2007,84.0,66.0,53.0,47.0,111.0,7.0,24.2,58.0,0.82,91.0
2824,25,9,2007,62.0,64.0,51.0,45.0,104.0,17.0,20.9,55.0,1.18,57.0
2825,26,9,2007,57.0,62.0,44.0,42.0,94.0,8.0,22.0,62.0,1.15,74.0
2826,27,9,2007,74.0,57.0,41.0,55.0,99.0,9.0,22.9,69.0,0.81,73.0
2827,28,9,2007,73.0,74.0,54.0,49.0,93.0,8.0,23.2,80.0,0.87,63.0
2828,29,9,2007,63.0,73.0,55.0,37.0,98.0,5.0,23.8,69.0,0.72,69.0
2830,1,10,2007,80.0,69.0,52.0,41.0,101.0,11.0,24.1,62.0,1.28,64.0
2831,2,10,2007,64.0,80.0,50.0,37.0,100.0,12.0,23.0,47.0,0.94,67.0
2832,3,10,2007,67.0,64.0,58.0,42.0,112.0,18.0,21.7,50.0,0.93,94.0
2833,4,10,2007,94.0,67.0,67.0,44.0,114.0,15.0,22.0,47.0,0.84,87.0
2834,5,10,2007,87.0,94.0,77.0,64.0,124.0,16.0,22.5,52.0,0.81,90.0
2835,6,10,2007,90.0,87.0,74.0,66.0,104.0,9.0,22.6,63.0,0.69,85.0
2836,7,10,2007,85.0,90.0,71.0,54.0,108.0,6.0,22.4,65.0,0.78,116.0
2837,8,10,2007,116.0,85.0,68.0,66.0,105.0,8.0,21.7,78.0,0.72,91.0
2838,9,10,2007,91.0,116.0,66.0,56.0,96.0,6.0,22.3,79.0,0.73,92.0
2839,10,10,2007,92.0,91.0,43.0,52.0,98.0,10.0,22.7,66.0,1.3,105.0
2840,11,10,2007,105.0,92.0,39.0,46.0,92.0,4.0,20.9,75.0,1.14,110.0
2841,12,10,2007,110.0,105.0,37.0,44.0,106.0,4.0,20.8,77.0,0.87,55.0
2842,13,10,2007,55.0,110.0,32.0,27.0,92.0,3.0,19.9,61.0,3.05,26.0
2843,14,10,2007,26.0,55.0,18.0,13.0,86.0,6.0,14.1,36.0,1.81,47.0
2844,15,10,2007,47.0,26.0,25.0,31.0,99.0,11.0,13.5,46.0,0.94,75.0
2845,16,10,2007,75.0,47.0,52.0,43.0,108.0,7.0,15.1,56.0,0.64,99.0
2846,17,10,2007,99.0,75.0,89.0,65.0,117.0,12.0,16.5,53.0,0.65,121.0
